,unit_params,param_names
0,-0.9266242384910583,gNaTs2_tbar_NaTs2_t_apical
1,-1.144485592842102,gSKv3_1bar_SKv3_1_apical
2,-0.010815313085913658,gImbar_Im_apical
3,1.9476020336151123,gIhbar_Ih_dend
4,0.10685013234615326,gNaTa_tbar_NaTa_t_axonal
5,0.04939708486199379,gK_Tstbar_K_Tst_axonal
6,-0.9999596476554871,gNap_Et2bar_Nap_Et2_axonal
7,-0.1139909029006958,gSK_E2bar_SK_E2_axonal
8,-0.8961589336395264,gCa_HVAbar_Ca_HVA_axonal
9,-0.160994291305542,gK_Pstbar_K_Pst_axonal
10,-0.646641731262207,gCa_LVAstbar_Ca_LVAst_axonal
11,0.6083478331565857,g_pas_axonal
12,3.6272268295288086,cm_axonal
13,-0.617210328578949,gSKv3_1bar_SKv3_1_somatic
14,-0.5009883642196655,gNaTs2_tbar_NaTs2_t_somatic
15,-1.9123274087905884,gCa_LVAstbar_Ca_LVAst_somatic
16,-2.8130125999450684,g_pas_somatic
17,-1.316484808921814,cm_somatic
18,-1.2049503326416016,e_pas_all
